

period,author_id,style,influence,death_year,incident_type,anecdote,feud_with,notable_rivalry,intensity,sentiment,stage_mood,location,play_id,creature_id,notes
Elizabethan,william_shakespeare,blank_verse,global,1616,literary_feud,"Robert Greene called him an “upstart crow” and accused him of stealing ideas from “real” writers.","Robert Greene","Greene’s pamphlet war",notable,jealousy,🤫,London,none,none,"Greene’s pamphlet war"
Elizabethan,william_shakespeare,blank_verse,global,1616,social_snobbery,"Contemporaries whispered he wasn’t classy enough for the royal court, yet he looked down on fellow actors.","Fellow actors","Shakespeare’s elitism",minor,grudge,😏,Royal Court,none,none,"Shakespeare’s elitism"
Elizabethan,william_shakespeare,blank_verse,global,1616,plagiarism,"Some accused Shakespeare of letting others ghostwrite and being a literary “front.”","Anonymous rivals","Shakespeare’s authorship",notable,humiliation,🤫,London,none,none,"Shakespeare’s authorship"
Elizabethan,william_shakespeare,blank_verse,global,1616,witty_repartee,"He slipped satirical digs at rivals like Jonson and Marston into his plays.","Ben Jonson, John Marston","Shakespeare’s theatrical shade",epic,cunning,😈,Theatre,none,none,"Shakespeare’s theatrical shade"
Elizabethan,christopher_marlowe,blank_verse,global,1593,espionage,"Rumored to be a spy, an atheist, and “wild”; some even thought he faked his death.","Authorities, rivals","Marlowe’s mysterious death",notable,suspicion,🤔,London,none,none,"Marlowe’s mysterious death"
Elizabethan,christopher_marlowe,blank_verse,global,1593,violent_death,"Was stabbed to death in a bar fight, widely believed to be a cover-up for espionage or debt.","Unknown enemies","Marlowe’s violent end",epic,shock,😱,Tavern,none,none,"Marlowe’s violent end"
Elizabethan,christopher_marlowe,blank_verse,global,1593,plagiarism,"Boozy and reckless, he borrowed money and plotlines, then disappeared to dodge enemies.","Creditors, rivals","Marlowe’s financial troubles",notable,jealousy,🤫,London,none,none,"Marlowe’s financial troubles"
Elizabethan,christopher_marlowe,blank_verse,global,1593,authorship,"People still debate if he wrote some of Shakespeare’s early works.","Shakespeare, scholars","Marlowe’s authorship",notable,suspicion,🤔,London,none,none,"Marlowe’s authorship"
Elizabethan,ben_jonson,blank_verse,global,1637,violent_feud,"Killed an actor in a duel, escaped execution by reciting Latin in court.","Actor, authorities","Jonson’s duel",epic,anger,😡,London,none,none,"Jonson’s duel"
Elizabethan,ben_jonson,blank_verse,global,1637,literary_feud,"Led the “War of the Theatres,” mocking rivals like Dekker and Marston on stage and off.","Thomas Dekker, John Marston","Jonson’s War of the Theatres",epic,mockery,🤡,Theatre,none,none,"Jonson’s War of the Theatres"
