Author,Birth,Death,Birthplace,Period,Genre,Major Works,Style & Themes,Iconic Creatures,Visual Motifs,Relevance,Notes
Francis Beaumont,1584,1616,Leicestershire,Jacobean,"Comedy, Tragicomedy","*Philaster*, *The Maid's Tragedy*","Honor, loyalty, betrayal, romance","Disguised lovers, corrupt courtiers","💔🗡️👑🎭🕷️","Noted collaborator (Fletcher)","Early innovator of tragicomedy"
George Chapman,1559,1634,Hitchin,"Jacobean","Tragedy, Translation","*Bussy D'Ambois*, Homer’s *Iliad*","Stoicism, heroism, philosophical depth","Noble outcasts, visionaries","🦉👑🗡️🔥🕯️","Literary bridge to classicism","Lofty, sometimes hard to stage"
Thomas Dekker,1572,1632,London,"Elizabethan","Comedy, Satire, Morality","*The Shoemaker's Holiday*, *The Honest Whore*","Urban life, resilience, wit, plague","Jesters, apprentices, tricksters","🎭🏙️🪶🧵💀","Urban voice, satirical chronicler","Known for vibrant city scenes, debt prison stints"
John Fletcher,1579,1625,Rye,"Jacobean, Caroline","Tragicomedy, Comedy","*The Faithful Shepherdess*, *The Spanish Curate*","Fluid morality, love vs. reason, comic intrigue","Servants, witty heroines","💔🎭🪶🧠🪞","Succeeded Shakespeare at the Globe","Master of tragicomedy twist"
John Ford,1586,1639,Devon,"Jacobean, Caroline","Tragedy, Morality","*'Tis Pity She’s a Whore*","Forbidden desire, fate, taboo, introspection","Incestuous lovers, avengers","💔💀🗡️🔥🕷️","Boundary-pushing moralist","Notorious for dark sexual politics"
Robert Greene,1558,1592,Norwich,"Elizabethan","Comedy, Morality","*Friar Bacon and Friar Bungay*, *Pandosto*","Disguise, seduction, lowlife, social climbing","Rogues, magicians, clowns","🕷️🪶💔💬","Pamphleteer, rivalry keen","Called Shakespeare an ""upstart crow"""
Thomas Heywood,1574,1641,Lincolnshire,"Jacobean","Domestic Tragedy, Comedy","*A Woman Killed with Kindness*, *The English Traveller*","Everyday life, forgiveness, class, domesticity","Wives, husbands, honest tradesmen","🏡🧵💔🕯️🎭","Prolific, lived the theatre","200+ plays credited, most lost"
Ben Jonson,1572,1637,London,"Elizabethan, Jacobean","Comedy, Satire, Masque","*Volpone*, *The Alchemist*, *Bartholomew Fair*","Satire, social ambition, justice, vice","Con artists, judges, fools","🎭🪶💰⚖️👑","Wit/power touchstone","Fought duels, wrote first play folio"
Thomas Kyd,1558,1594,London,"Elizabethan","Tragedy","*The Spanish Tragedy*","Revenge, fate, madness, haunting","Vengeful spirits, wronged lovers","🗡️💀👻🧠🔥","Blueprint for revenge tragedy","Tortured, scandal-ended career"
John Lyly,1554,1606,Kent,"Elizabethan","Comedy, Court Masque","*Gallathea*, *Endymion*","Eloquence, gender fluidity, wit, allegory","Clever pages, magical women","🎭🪞❤️🌹🕯️","Euphuism master, favorite at court","Gender-play & allegory trendsetter"
John Marston,1576,1634,Coventry,"Jacobean","Satire, Tragedy","*Antonio's Revenge*, *The Malcontent*","Hypocrisy, vendetta, disguise, anxiety","Melancholics, jesters, villains","🕷️🔥🗡️🎭👺","Satirist, fought “Poets' War”","Banned, loved literary combat"
Christopher Marlowe,1564,1593,Canterbury,"Elizabethan","Tragedy","*Doctor Faustus*, *Tamburlaine*","Ambition, transgression, damnation, atheism","Devil, overreacher, fallen scholar","🔥👺👑💀🪞","Proto-Shakespearean, boundary breaker","Died in mysterious tavern brawl"
Philip Massinger,1583,1640,Salisbury,"Jacobean, Caroline","Comedy, Tragedy","*The Roman Actor*, *A New Way to Pay Old Debts*","Corruption, social justice, mercy","Deputies, villains, wronged innocents","⚖️💰👑🦉🕯️","Political, legal drama","Censored for authority criticism"
Thomas Middleton,1580,1627,London,"Jacobean","Tragedy, Satire","*The Changeling*, *Women Beware Women*","Lust, manipulation, treachery, realism","Schemers, victims, corrupt clergy","🕷️🔥💔🕯️🗡️","Urban darkness, social critique","Co-wrote with Dekker, Rowley, Webster"
Thomas Nashe,1567,1601,Lowestoft,"Elizabethan","Satire, Comedy","*Summer's Last Will and Testament*, *The Unfortunate Traveller*","Satire, sexuality, critique, chaos","Scheming fools, pamphleteers","🪶💔🔥🦉💬","Agitator, pamphlets, banned","Famous for literary feuds"
George Peele,1556,1596,London,"Elizabethan","Pastoral, Pageant, Tragedy","*The Old Wives' Tale*, *Edward I*","Magic, folklore, spectacle, patriotism","Enchanters, jesters","🎭🕷️👑🗡️🧵","Early innovator, genre-mixer","Died penniless, plagiarism rumor"
William Rowley,1585,1626,London,"Jacobean","Comedy, Tragicomedy","*A Shoemaker a Gentleman*, *The Witch*","Grotesque, magic, everyday heroism","Clowns, witches, merchants","🎭🧵👻💔🕷️","Supernatural, comic relief","Played own comic roles"
William Shakespeare,1564,1616,Stratford-upon-Avon,"Elizabethan, Jacobean","Drama, Poetry","*Hamlet*, *Macbeth*, *Othello*, *King Lear*","Human nature, ambition, fate, identity","Ghosts, witches, fools","🎭👑💀🔥💔🗡️🪞","Benchmark, central to project","Defines English Renaissance drama"
James Shirley,1596,1666,London,"Caroline","Tragicomedy, Comedy","*The Cardinal*, *The Lady of Pleasure*","Desire, vanity, court intrigue","Courtiers, schemers, lovers","🌹💔👑🪞🗡️","Last major pre-Civil War playwright","Bridged Caroline refinements"
John Webster,1580,1634,London,"Jacobean","Tragedy","*The Duchess of Malfi*, *The White Devil*","Corruption, violence, fate, power","Deadly duchesses, spies, madmen","💀🕷️🔥👑🗡️","Darkness icon, “malcontent” expert","Macabre women & plots"
